,BrakingTime_2,disc_heating_BTM_FL,POS_MEASUREREV,TMC_filtered,CF_FL
985,0.0,0.0,0.0108400000000065,0.0,360.0
986,0.0,0.0,0.0650400000000065,0.0,360.0
987,0.0,0.0,0.1300800000000065,0.0,360.0
988,0.0,0.0,0.1734400000000065,0.0,521.0
989,0.0,0.0,0.2276400000000065,0.0,682.0
990,0.0,0.0,0.2710000000000065,0.0,682.0
991,0.0,0.0,0.3143600000000065,0.0,682.0
992,0.0099999999999997,6.489751369148747e-20,0.3468800000000064,100.0,843.0
993,0.0199999999999977,1.2979502738296342e-19,0.3794000000000065,100.0,1004.0
994,0.0299999999999975,1.946925410744509e-19,0.4119200000000065,100.0,1004.0
995,0.0399999999999991,2.595900547659499e-19,0.4336000000000065,100.0,1004.0
996,0.0499999999999989,6.489751369148747e-19,0.4552800000000065,200.0,1004.0
997,0.0599999999999987,7.787701642978499e-19,0.4769600000000065,200.0,1004.0
998,0.0700000000000002,9.085651916808477e-19,0.4986400000000065,200.0,1004.0
999,0.08,1.0383602190638229e-18,0.5203200000000064,200.0,1166.0
1000,0.0899999999999998,1.1681552464467977e-18,0.5311600000000065,200.0,1166.0
1001,0.0999999999999978,1.9469254107446244e-18,0.5528400000000065,300.0,1166.0
1002,0.1099999999999976,2.141617951819087e-18,0.5636800000000065,300.0,1327.0
1003,0.1199999999999974,2.336310492893549e-18,0.5853600000000065,300.0,1327.0
1004,0.129999999999999,2.5310030339680466e-18,0.5962000000000065,300.0,1327.0
1005,0.1399999999999988,2.725695575042509e-18,0.6070400000000065,300.0,1327.0
1006,0.1500000000000003,2.9203881161170057e-18,0.6178800000000065,300.0,1327.0
1007,0.1600000000000001,3.115080657191468e-18,0.6287200000000065,300.0,1488.0
1008,0.1699999999999999,4.41303093102124e-18,0.6395600000000065,400.0,1488.0
1009,0.1799999999999979,4.672620985787145e-18,0.6504000000000065,400.0,1327.0
1010,0.1899999999999977,4.932211040553094e-18,0.6720800000000066,400.0,1488.0
1011,0.1999999999999975,5.191801095319045e-18,0.6829200000000075,400.0,1488.0
1012,0.209999999999999,5.45139115008504e-18,0.6937600000000075,400.0,1488.0
1013,0.2199999999999988,5.71098120485099e-18,0.7154400000000065,400.0,1488.0
1014,0.2299999999999986,5.9705712596169396e-18,0.7262800000000065,400.0,1488.0
1015,0.2400000000000002,6.230161314382935e-18,0.7479600000000065,400.0,1649.0
1016,0.25,8.112189211436106e-18,0.7588000000000066,500.0,1488.0
1017,0.2599999999999998,8.436676779893544e-18,0.7804800000000065,500.0,1649.0
1018,0.2699999999999978,8.761164348350924e-18,0.7913200000000066,500.0,1649.0
1019,0.2799999999999976,9.085651916808362e-18,0.8130000000000064,500.0,1810.0
1020,0.2899999999999991,9.410139485265857e-18,0.8238400000000065,500.0,1810.0
1021,0.2999999999999989,9.734627053723293e-18,0.8346800000000064,500.0,1971.0
1022,0.3099999999999987,1.2070937546616879e-17,0.8563600000000076,600.0,1971.0
1023,0.3200000000000003,1.2460322628765872e-17,0.8672000000000065,600.0,1971.0
1024,0.33,1.2849707710914801e-17,0.8888800000000064,600.0,1971.0
1025,0.3399999999999998,1.3239092793063725e-17,0.8997200000000065,600.0,1971.0
1026,0.3499999999999978,1.3628477875212578e-17,0.9214000000000064,600.0,1971.0
1027,0.3599999999999976,1.4017862957361502e-17,0.9322400000000064,600.0,1971.0
1028,0.3699999999999974,1.4407248039510428e-17,0.9430800000000066,600.0,1971.0
1029,0.379999999999999,1.4796633121659424e-17,0.9647600000000066,600.0,2132.0
1030,0.3899999999999988,1.7717021237776404e-17,0.9756000000000064,700.0,2132.0
1031,0.4000000000000003,1.81713038336169e-17,0.9972800000000064,700.0,2132.0
1032,0.4100000000000001,1.8625586429457308e-17,1.0189600000000074,700.0,2294.0
1033,0.4199999999999999,1.9079869025297722e-17,1.0298000000000076,700.0,2294.0
1034,0.4299999999999979,1.9534151621138054e-17,1.0406400000000076,700.0,2294.0
1035,0.4399999999999977,1.9988434216978466e-17,1.0623200000000066,700.0,2455.0
1036,0.4499999999999975,2.3363104928935857e-17,1.0731600000000066,800.0,2455.0
1037,0.4599999999999991,2.388228503846785e-17,1.0840000000000063,800.0,2294.0
1038,0.4699999999999988,2.4401465147999748e-17,1.0948400000000065,800.0,2455.0
1039,0.4799999999999986,2.492064525753165e-17,1.1165200000000066,800.0,2455.0
1040,0.4900000000000002,2.5439825367063645e-17,1.1273600000000066,800.0,2616.0
1041,0.5,2.920388116116999e-17,1.1382000000000063,900.0,2616.0
1042,0.5099999999999998,2.978795878439338e-17,1.1490400000000065,900.0,2616.0
1043,0.5199999999999978,3.0372036407616656e-17,1.1598800000000065,900.0,2616.0
1044,0.5299999999999976,3.0956114030840046e-17,1.1815600000000075,900.0,2616.0
1045,0.5399999999999991,3.1540191654063535e-17,1.1924000000000077,900.0,2777.0
1046,0.5499999999999989,3.212426927728693e-17,1.2032400000000074,900.0,2616.0
1047,0.5599999999999987,3.6342607667233675e-17,1.2140800000000065,1000.0,2777.0
1048,0.5700000000000003,3.6991582804148665e-17,1.2249200000000064,1000.0,2777.0
1049,0.5800000000000001,3.764055794106354e-17,1.2249200000000064,1000.0,2938.0
1050,0.5899999999999999,3.828953307797842e-17,1.2357600000000064,1000.0,2938.0
1051,0.5999999999999979,3.893850821489317e-17,1.2466000000000066,1000.0,3099.0
1052,0.6099999999999977,3.958748335180805e-17,1.2574400000000066,1000.0,2938.0
1053,0.6199999999999974,4.023645848872293e-17,1.2682800000000063,1000.0,2938.0
