Complexity,Loss,Equation
1,6.717109e7,"32.980083"
2,5.0986e7,"square(63.664616)"
3,1.6473951e7,"7138.4653 * TMC_filtered"
4,4.3758755e6,"square(-67.51849 * POS_MEASUREREV)"
5,22406.596,"(TMC_filtered * 7138.8516) - -4055.7559"
7,22304.562,"(TMC_filtered * (disc_heating_BTM_FL + 7138.4653)) - -4055.7559"
8,21830.035,"((7130.814 + cube(disc_heating_BTM_FL)) * TMC_filtered) - -4053.0615"
9,20362.35,"((TMC_filtered * 7165.7935) - -4076.3523) - cube(square(TMC_filtered))"
10,20091.592,"4070.9373 + ((TMC_filtered * 7147.581) - cube(BrakingTime_2 + BrakingTime_2))"
11,18632.678,"((7010.65 * TMC_filtered) + 4060.0337) + cube(sin(TMC_filtered) * 7.4275513)"
13,16227.451,"(7090.4497 * TMC_filtered) - (-4055.0698 + (sin(TMC_filtered - sin(disc_heating_BTM_FL)) * -268.6237))"
14,15913.638,"(7090.4497 * TMC_filtered) - (-4055.0698 + (sin(sin(TMC_filtered - sin(disc_heating_BTM_FL))) * -268.6237))"
15,13328.267,"(7090.4497 * TMC_filtered) - (-4056.6226 + (sin((TMC_filtered - sin(disc_heating_BTM_FL)) / 0.76543653) * -268.6237))"
16,13071.42,"(7090.4497 * TMC_filtered) - (-4056.6226 + (sin(sin((TMC_filtered - sin(disc_heating_BTM_FL)) / 0.76543653)) * -268.6237))"
18,12840.972,"(7090.4497 * TMC_filtered) - (-4056.6226 + (sin(sin((TMC_filtered - sin(disc_heating_BTM_FL)) / 0.76543653) / 0.7548292) * -268.6237))"
19,12532.662,"(7090.4497 * TMC_filtered) - (-4063.5378 + (sin(sin(sin((TMC_filtered - sin(disc_heating_BTM_FL)) / 0.76543653) / 0.6999388)) * -268.6237))"
20,12100.853,"(7090.4497 * TMC_filtered) - (-4056.6226 + (sin(sin((TMC_filtered - (sin(disc_heating_BTM_FL) * 1.1974151)) / 0.76543653) / 0.7548292) * -268.6237))"
