Complexity,Loss,Equation
1,0.65176,"5.635949"
3,0.5050615,"x10 ^ 0.7377776"
5,0.46791345,"(x10 ^ 0.7751298) - x1"
6,0.45078635,"sqrt(x10 / 0.27349314) - x1"
7,0.4412979,"((x10 ^ 0.7274807) + x9) - x1"
8,0.43423253,"(sin(x9) + (x10 ^ 0.7317599)) - x1"
9,0.4300601,"((x10 ^ 0.71278757) + cos(log(x9))) - x1"
10,0.42539018,"((x10 ^ 0.71278757) + cos(tan(log(x9)))) - x1"
11,0.42234,"(sqrt(x10 / 0.3211037) - x1) + square(sin(tan(x9)))"
12,0.42007482,"(sqrt(x10 / 0.32675225) - x1) + sqrt(rem(cube(x9), -0.7895135))"
13,0.41910794,"(sqrt(x10 / 0.32675225) - x1) + sqrt(tan(rem(cube(x9), -0.7895135)))"
14,0.418656,"(sqrt((x10 - x4) / 0.32101607) - x1) + sqrt(rem(cube(x9), -0.7857473))"
15,0.4181784,"(sqrt((x10 / 0.32101607) - x1) - x1) + sqrt(tan(rem(cube(x9), -0.7895135)))"
16,0.41401348,"(sqrt(x10 / 0.3211037) - x1) + sqrt(rem(cube(x9), (x10 / -0.38173097) / x6))"
17,0.4117436,"(sqrt(x10 / 0.3211037) - x1) + sqrt(rem(cube(x9), (x10 / sin(-0.38173097)) / x6))"
18,0.41124532,"(sqrt(x10 / 0.3211037) - x1) + sqrt(rem(cube(x9), (x10 / sin(log(0.68307656))) / x6))"
19,0.4109528,"rem(cube(x9), cos(5.636027) * ((x10 / 0.3211037) / x6)) + (sqrt(x10 / 0.3211037) - square(x1))"
20,0.40568927,"rem(cube(x9), cos(log(x4)) * ((x10 / 0.3211037) / x6)) + (sqrt(x10 / 0.3211037) - square(x1))"
