Complexity,Loss,Equation
1,6.0492332e7,"7139.2847"
2,5.103565e7,"cube(16.234709)"
3,1.647394e7,"TMC_filtered * 7138.2065"
4,4.446406e6,"4707.605 * square(POS_MEASUREREV)"
5,22406.69,"7139.2847 * (TMC_filtered + 0.5681174)"
7,22296.182,"(TMC_filtered + 0.5681174) * (7139.2847 + disc_heating_BTM_FL)"
8,21869.0,"(7140.1606 * (TMC_filtered + 0.5681174)) - cube(BrakingTime_2)"
9,20317.771,"(7176.2036 * (TMC_filtered + 0.56710523)) - square(cube(TMC_filtered))"
11,19580.088,"(7164.947 * (0.5687177 + TMC_filtered)) - cube(cube(-0.5055118 + TMC_filtered))"
12,14958.524,"((TMC_filtered + 0.5515942) * 7176.2036) + (cos(BrakingTime_2 - TMC_filtered) * 146.63367)"
14,13848.123,"((TMC_filtered + 0.5515942) * 7159.509) + (cos(BrakingTime_2 - (TMC_filtered - 0.40779635)) * 146.63367)"
15,13379.411,"(cos(cube(-0.91634923) + (POS_MEASUREREV - BrakingTime_2)) * 268.66104) + ((0.54800284 + TMC_filtered) * 7131.393)"
16,13114.648,"(cos((0.3394379 * -2.7864332) + (TMC_filtered - BrakingTime_2)) * 268.66104) + ((0.54800284 + TMC_filtered) * 7131.393)"
17,12980.058,"(cos(cube(0.3394379 * -2.7864332) + (POS_MEASUREREV - BrakingTime_2)) * 268.66104) + ((0.54800284 + TMC_filtered) * 7131.393)"
19,12711.162,"(cos((cube(0.3394379 * -2.7864332) + (POS_MEASUREREV - BrakingTime_2)) * -1.1484374) * 268.66104) + ((0.54800284 + TMC_filtered) * 7131.393)"
20,11962.529,"(cos(sin(0.3394379 * (cube(-2.7864332) + disc_heating_BTM_FL)) + (POS_MEASUREREV - BrakingTime_2)) * 268.66104) + ((0.54800284 + TMC_filtered) * 7131.393)"
