Complexity,Loss,Equation
1,6.74185e7,"2.3473787"
2,5.0986188e7,"square(-63.794987)"
3,1.6473944e7,"TMC_filtered * 7136.4478"
4,4.3758925e6,"square(POS_MEASUREREV * -67.5244)"
5,22416.889,"(TMC_filtered * 7142.0596) + 4055.528"
7,22322.809,"4059.5918 + ((7137.474 + disc_heating_BTM_FL) * TMC_filtered)"
8,21873.025,"((TMC_filtered + 0.56858677) * 7137.474) - cube(BrakingTime_2)"
9,20415.46,"((0.5693915 + TMC_filtered) * 7167.3174) - cube(square(TMC_filtered))"
10,20097.299,"(7149.0244 * (0.569222 + TMC_filtered)) - cube(BrakingTime_2 + BrakingTime_2)"
11,19542.705,"(7149.0244 * (TMC_filtered + 0.569222)) - cube(square(TMC_filtered - disc_heating_BTM_FL))"
12,19452.385,"((0.5772299 + TMC_filtered) * 7140.7036) - square((BrakingTime_2 + -0.4566485) * -6.9056187)"
13,18935.627,"((0.5772299 + TMC_filtered) * 7140.7036) - square(cube(-1.6571283) - (BrakingTime_2 * -6.9056187))"
15,17791.133,"(7095.05 * (TMC_filtered + 0.60080385)) + (square((-0.8596279 + BrakingTime_2) / 0.44347286) / cube(-0.3444406))"
