Complexity,Loss,Equation
1,0.65176,"5.636198"
3,0.50506145,"x10 ^ 0.7377849"
5,0.46791345,"(x10 ^ 0.7751179) - x1"
6,0.4590737,"(x10 ^ 0.76004803) - square(x1)"
7,0.44129786,"(x9 + (x10 ^ 0.7274809)) - x1"
8,0.43423262,"(sin(x9) + (x10 ^ 0.7317479)) - x1"
9,0.42925647,"((x10 ^ 0.7288528) + min(x9, 0.83125365)) - x1"
10,0.42498454,"((x10 ^ 0.724052) + cube(cos(log(x9)))) - x1"
11,0.42241287,"((x10 ^ 0.6692266) + (0.7299229 + min(0.82999164, x9))) - x1"
13,0.41770002,"((x10 ^ 0.6692266) + (sqrt(x9) + min(x9, cos(x9)))) - x1"
14,0.4135768,"((x10 ^ 0.724052) + tan(min(sin(cos(sin(log(x6)))), x9))) - x1"
16,0.41315076,"(((x10 ^ 0.724052) * x7) + tan(min(sin(cos(sin(log(x6)))), x9))) - x1"
17,0.41244483,"(((x10 ^ 0.724052) ^ x7) + tan(min(sin(cos(square(sin(log(x6))))), x9))) - x1"
18,0.41227552,"(((x10 ^ x7) ^ 0.724052) + tan(min(sin(cos(sin(cube(0.23392361) * x6))), x9))) - x1"
19,0.41123983,"(((x10 ^ 0.724052) ^ x7) + tan(min(sin(cos(square(sin(log(x6))))), x9 - -0.020681426))) - x1"
20,0.411077,"(((x10 ^ 0.724052) ^ square(x7)) + tan(min(sin(cos(square(sin(log(x6))))), x9 - -0.020681426))) - x1"
