Complexity,Loss,Equation
1,0.23039997,"0.35999927"
2,0.23039995,"sin(0.3682712)"
4,0.22558443,"cos(x4) * 0.43121186"
5,0.2201383,"0.50429803 * (x1 ^ x7)"
6,0.20601524,"sin(0.53302056 / x9) * 0.50572556"
7,0.19414634,"0.2511813 / exp(cos(1.0613899 / x9))"
8,0.18751879,"0.2385387 / exp(sin(2.7355225 / sqrt(x9)))"
9,0.18737908,"0.22906736 / exp(sin(2.7355225 / sqrt(sin(x9))))"
10,0.18394013,"0.14306098 / (exp(sin(2.7348356 / sqrt(x9))) + -0.17471859)"
11,0.17065974,"0.30633515 / exp(sin(sin(sin(1.6462401 / x9)) / x5))"
12,0.16266435,"0.34989977 / exp(sin(sin(1.6494908 / x9) / (x5 / x1)))"
13,0.15740654,"0.31192532 / exp(sin(cos(x3) * (sin(1.6457366 / x9) / x5)))"
14,0.15210745,"0.30674738 / exp(sin((sin(x3 + (1.6398139 / x9)) / x5) + x8))"
15,0.1454687,"0.35065836 / exp(sin(x2 + (sin(sin((1.5717868 / x9) + x3)) / x5)))"
16,0.14122014,"0.35065836 / exp(sin(x2 + (sin(sin(sin(x3) + (1.6282982 / x9))) / x5)))"
17,0.13634057,"0.32859936 / exp(sin(0.8332471 / sin((sin(sin(1.6426039 / sin(x9))) / x5) + x2)))"
18,0.12215032,"0.32859737 / exp(sin(0.8281543 / sin(x2 + (sin(sin(sin(1.6452596 / sin(x9)))) / x5))))"
19,0.11337599,"0.34344807 / exp(sin(cos(x2) / sin(x2 + (sin(sin(sin(1.649636 / sin(x9)))) / x5))))"
20,0.113375574,"sin(0.35015497) / exp(sin(cos(x2) / sin((sin(sin(sin(1.649636 / sin(x9)))) / x5) + x2)))"
