Complexity,Loss,Equation
1,6.742326e7,"TMC_filtered"
2,6.7358136e7,"cube(disc_heating_BTM_FL)"
3,1.6864582e7,"POS_MEASUREREV * 7050.7456"
5,22406.578,"4055.827 + (TMC_filtered * 7138.681)"
7,22333.535,"4054.6472 + ((disc_heating_BTM_FL + 7132.4253) * TMC_filtered)"
8,21840.186,"4054.6472 + ((cube(disc_heating_BTM_FL) + 7132.4253) * TMC_filtered)"
9,20135.12,"(7162.066 * TMC_filtered) + (4060.282 - exp(square(TMC_filtered)))"
11,18729.475,"(4046.6865 + (TMC_filtered * 7018.574)) - (cube(sin(TMC_filtered)) * -442.76697)"
12,18717.732,"(4046.6865 + (TMC_filtered * 7018.574)) - (sin(cube(sin(POS_MEASUREREV))) * -442.76697)"
13,18244.92,"((TMC_filtered * 7005.674) - (cube(sin(TMC_filtered)) * -422.78513)) + (2020.6857 - -2020.3018)"
14,17805.172,"(4001.4773 + (7190.0635 * TMC_filtered)) + ((square(square(cos(TMC_filtered))) * -371.15103) * disc_heating_BTM_FL)"
17,15779.418,"4095.0562 + (1.307695 - (square(TMC_filtered * exp(TMC_filtered)) - ((7302.182 * TMC_filtered) + (-93.41636 * BrakingTime_2))))"
18,15723.822,"4095.0562 + (exp(TMC_filtered) - (square(TMC_filtered * exp(TMC_filtered)) - ((TMC_filtered * 7302.182) + (BrakingTime_2 * -93.41636))))"
19,15665.338,"(4100.919 + (1.0020047 - (square(exp(TMC_filtered) * TMC_filtered) - ((7303.7363 * TMC_filtered) + (-79.853294 * BrakingTime_2))))) - -0.9633319"
20,15298.381,"(square(1.2994237) - (square((exp(TMC_filtered) * TMC_filtered) - BrakingTime_2) - ((7302.182 * TMC_filtered) + (-93.41636 * BrakingTime_2)))) + 4095.0562"
21,15291.82,"((1.2994237 - (square((exp(TMC_filtered) * TMC_filtered) - BrakingTime_2) - ((7302.182 * TMC_filtered) + (-93.41636 * BrakingTime_2)))) + 4095.0562) + 0.74408704"
22,15235.219,"(square(1.2994237) - (square((exp(TMC_filtered) * TMC_filtered) - (BrakingTime_2 * POS_MEASUREREV)) - ((7302.182 * TMC_filtered) + (-93.41636 * BrakingTime_2)))) + 4095.0562"
24,14461.255,"((-136.14444 * sin(square(disc_heating_BTM_FL))) - (square((exp(POS_MEASUREREV) - cos(POS_MEASUREREV)) * TMC_filtered) - ((7302.182 * TMC_filtered) + (BrakingTime_2 * -93.41636)))) + 4139.0327"
25,13729.625,"((-136.14444 * sin(square(disc_heating_BTM_FL))) - (TMC_filtered + (square(TMC_filtered * exp(TMC_filtered)) - (((7302.182 * TMC_filtered) + (BrakingTime_2 * -93.41636)) - disc_heating_BTM_FL)))) + 4139.0327"
27,13726.466,"((-136.14444 * sin(square(disc_heating_BTM_FL))) - (TMC_filtered + (square(TMC_filtered * exp(TMC_filtered)) - ((((7302.182 * TMC_filtered) - 1.2380887) + (BrakingTime_2 * -93.41636)) - disc_heating_BTM_FL)))) + 4139.0327"
29,13724.859,"(((-136.14444 * sin(square(disc_heating_BTM_FL))) - ((TMC_filtered - BrakingTime_2) + (square(TMC_filtered * exp(TMC_filtered)) - (((7302.182 * TMC_filtered) + (BrakingTime_2 * -93.41636)) - disc_heating_BTM_FL)))) + 4139.0327) + TMC_filtered"
