Complexity,Loss,Equation
2,0.07376578,"sin(0.47104168)"
6,0.0720757,"sin(cos(exp(0.14691313 * x0)))"
7,0.07149093,"exp(sin((x0 + -1.9670842) + -0.66085356))"
8,0.07110625,"sin(sin(sin(exp(sin(0.9253132 + x0)))))"
9,0.07079864,"sin(sin(sin(sin(exp(sin(0.9253132 + x0))))))"
10,0.07048568,"sin(sin(exp(sin(1.0596707 + cos(x0 + 0.32749474)))))"
13,0.06950637,"sin(cos(sin(exp(-0.21777232) + x0)) * sin(sin(0.8853179 + x1)))"
14,0.06893588,"sin((x0 * (cos(x0) * -0.5124891)) + 0.7406954) * sin(exp(sin(x1)))"
15,0.068795145,"sin(sin(0.76486677 + ((cos(x0) * -0.5124891) * x0))) * sin(exp(sin(x1)))"
16,0.06755012,"((1.5400814 + ((cos(x0) * -0.48291594) * x0)) * sin(exp(sin(sin(x1))))) + -0.8282195"
17,0.066885136,"((1.5400814 + ((cos(x0) * -0.48291594) * sin(x0))) * sin(exp(sin(sin(x1))))) + -0.8282195"
