Complexity,Loss,Equation
1,0.21389996,"0.31000024"
3,0.21114287,"0.6003454 * x8"
4,0.20339032,"1.1791896 - cos(x8)"
5,0.199739,"0.3330249 * (x3 + x8)"
6,0.19264692,"(x5 * x8) ^ sqrt(x5)"
7,0.18098591,"(x8 * (x5 ^ 3.184885)) ^ x5"
8,0.18018779,"((x5 ^ 3.352795) * x8) ^ sin(x5)"
9,0.17281418,"(x8 * x5) ^ (x5 ^ (0.058008477 / x5))"
10,0.16974124,"(x5 * x8) ^ (x5 ^ cos(10.339223 * x5))"
11,0.15702158,"0.19335023 / ((x1 / x3) ^ cos(cos(x3) / x5))"
12,0.15270756,"sin(0.23837279 / ((x1 / x3) ^ cos(cos(x3) / x5)))"
13,0.14679815,"0.2663798 ^ ((x1 / (x3 / x5)) ^ cos(cos(x7) / x5))"
14,0.1464408,"0.27734208 ^ ((x1 / (x3 / x5)) ^ cos(cos(x7) / sin(x5)))"
15,0.13489492,"(x8 * 0.55212754) ^ ((x1 / (x3 / x5)) ^ cos(cos(x7) / x5))"
16,0.13123217,"(x5 * x8) ^ sqrt((x1 / x3) ^ (cos(cos(x3) / x5) / x5))"
17,0.11171573,"(x8 * x5) ^ ((x1 / ((x3 / x5) ^ 2.83211)) ^ cos(cos(x7) / x5))"
18,0.11098127,"(x8 * sqrt(x5)) ^ ((x1 / ((x3 / x5) ^ 3.0632699)) ^ cos(cos(x7) / x5))"
19,0.10562141,"(x5 * x8) ^ ((x1 / ((x3 / x5) ^ 2.9255397)) ^ cos(cos(-1.2595903 * x7) / x5))"
20,0.105002925,"(x5 * x8) ^ ((x1 / ((x3 / x5) ^ 3.1127453)) ^ sin(cos(cos(-1.2591904 * x7) / x5)))"
