,currentTime,Lookup_Table,POS_MEASUREREV,TMC_filtered,CF_RL
0,9.656027578344696,4.0,0.0,0.0,293.0
1,9.666027578344696,4.0,0.0,0.0,293.0
2,9.676027578344694,4.0,0.0,0.0,293.0
3,9.686027578344694,5.0,0.0,0.0,293.0
4,9.696027578344696,5.0,0.0,0.0,293.0
5,9.706027578344695,5.0,0.0,0.0,293.0
6,9.716027578344695,6.0,0.0,0.0,293.0
7,9.726027578344697,6.0,0.0,0.0,293.0
8,9.736027578344697,6.0,0.0,0.0,293.0
9,9.746027578344696,7.0,0.0,0.0,293.0
10,9.756027578344694,7.0,0.0,0.0,293.0
11,9.766027578344694,7.0,0.0,0.0,293.0
12,9.776027578344694,8.0,0.0,0.0,293.0
13,9.786027578344695,8.0,0.0,0.0,293.0
14,9.796027578344695,8.0,0.0,0.0,293.0
15,9.806027578344697,8.0,0.0,0.0,293.0
16,9.816027578344697,9.0,0.0,0.0,293.0
17,9.826027578344696,9.0,0.0,0.0,293.0
18,9.836027578344694,9.0,0.0,0.0,293.0
19,9.846027578344694,9.0,0.0108400000000065,0.0,293.0
20,9.856027578344694,21.0,0.0650400000000065,0.0,448.0
21,9.866027578344696,72.0,0.1300800000000065,0.0,448.0
22,9.876027578344695,122.0,0.1734400000000065,0.0,603.0
23,9.886027578344695,169.0,0.2276400000000065,0.0,758.0
24,9.896027578344697,216.0,0.2710000000000065,0.0,914.0
25,9.906027578344696,287.0,0.3143600000000065,0.0,914.0
26,9.916027578344696,351.0,0.3468800000000064,100.0,914.0
27,9.926027578344694,409.0,0.3794000000000065,100.0,1224.0
28,9.936027578344694,475.0,0.4119200000000065,100.0,1224.0
29,9.946027578344696,537.0,0.4336000000000065,100.0,1224.0
30,9.956027578344695,592.0,0.4552800000000065,200.0,1379.0
31,9.966027578344695,646.0,0.4769600000000065,200.0,1379.0
32,9.976027578344697,698.0,0.4986400000000065,200.0,1535.0
33,9.986027578344697,742.0,0.5203200000000064,200.0,1535.0
34,9.996027578344696,782.0,0.5311600000000065,200.0,1535.0
35,10.006027578344694,826.0,0.5528400000000065,300.0,1690.0
36,10.016027578344694,864.0,0.5636800000000065,300.0,1845.0
37,10.026027578344694,905.0,0.5853600000000065,300.0,1845.0
38,10.036027578344695,943.0,0.5962000000000065,300.0,2000.0
39,10.046027578344695,977.0,0.6070400000000065,300.0,1845.0
40,10.056027578344697,1005.0,0.6178800000000065,300.0,2000.0
41,10.066027578344697,1032.0,0.6287200000000065,300.0,2000.0
42,10.076027578344696,1066.0,0.6395600000000065,400.0,2156.0
43,10.086027578344694,1092.0,0.6504000000000065,400.0,2000.0
44,10.096027578344694,1126.0,0.6720800000000066,400.0,2156.0
45,10.106027578344694,1156.0,0.6829200000000075,400.0,2156.0
46,10.116027578344696,1186.0,0.6937600000000075,400.0,2156.0
47,10.126027578344695,1224.0,0.7154400000000065,400.0,2156.0
48,10.136027578344695,1261.0,0.7262800000000065,400.0,2311.0
49,10.146027578344697,1299.0,0.7479600000000065,400.0,2311.0
50,10.156027578344696,1333.0,0.7588000000000066,500.0,2466.0
51,10.166027578344696,1378.0,0.7804800000000065,500.0,2466.0
52,10.176027578344694,1420.0,0.7913200000000066,500.0,2466.0
53,10.186027578344694,1457.0,0.8130000000000064,500.0,2466.0
54,10.196027578344696,1491.0,0.8238400000000065,500.0,2466.0
55,10.206027578344695,1532.0,0.8346800000000064,500.0,2622.0
56,10.216027578344695,1551.0,0.8563600000000076,600.0,2622.0
57,10.226027578344697,1593.0,0.8672000000000065,600.0,2622.0
58,10.236027578344697,1630.0,0.8888800000000064,600.0,2777.0
59,10.246027578344696,1668.0,0.8997200000000065,600.0,2622.0
60,10.256027578344694,1706.0,0.9214000000000064,600.0,2777.0
61,10.266027578344694,1743.0,0.9322400000000064,600.0,2622.0
62,10.276027578344694,1781.0,0.9430800000000066,600.0,2622.0
63,10.286027578344695,1815.0,0.9647600000000066,600.0,2777.0
64,10.296027578344695,1856.0,0.9756000000000064,700.0,2777.0
65,10.306027578344697,1894.0,0.9972800000000064,700.0,2777.0
66,10.316027578344697,1935.0,1.0189600000000074,700.0,2932.0
67,10.326027578344696,1973.0,1.0298000000000076,700.0,2932.0
68,10.336027578344694,2010.0,1.0406400000000076,700.0,3087.0
69,10.346027578344694,2071.0,1.0623200000000066,700.0,3087.0
70,10.356027578344694,2115.0,1.0731600000000066,800.0,3087.0
71,10.366027578344696,2164.0,1.0840000000000063,800.0,3087.0
72,10.376027578344695,2214.0,1.0948400000000065,800.0,3087.0
73,10.386027578344695,2258.0,1.1165200000000066,800.0,3243.0
74,10.396027578344697,2308.0,1.1273600000000066,800.0,3087.0
75,10.406027578344696,2363.0,1.1382000000000063,900.0,3243.0
76,10.416027578344696,2407.0,1.1490400000000065,900.0,3398.0
77,10.426027578344694,2434.0,1.1598800000000065,900.0,3243.0
78,10.436027578344694,2484.0,1.1815600000000075,900.0,3243.0
79,10.446027578344696,2533.0,1.1924000000000077,900.0,3243.0
80,10.456027578344695,2583.0,1.2032400000000074,900.0,3398.0
81,10.466027578344695,2616.0,1.2140800000000065,1000.0,3398.0
82,10.476027578344697,2649.0,1.2249200000000064,1000.0,3398.0
83,10.486027578344697,2671.0,1.2249200000000064,1000.0,3553.0
84,10.496027578344696,2709.0,1.2357600000000064,1000.0,3553.0
85,10.506027578344694,2737.0,1.2466000000000066,1000.0,3708.0
86,10.516027578344694,2770.0,1.2574400000000066,1000.0,3553.0
87,10.526027578344694,2820.0,1.2682800000000063,1000.0,3553.0
