,currentTime,Lookup_Table,POS_MEASUREREV,TMC_filtered,CF_FL
106,15.086076077490215,9.0,0.0542000000000065,0.0,38.0
107,15.096076077490215,255.0,0.7588000000000066,0.0,38.0
108,15.106076077490217,576.0,1.3333200000000065,0.0,38.0
109,15.116076077490217,844.0,1.8428000000000064,200.0,38.0
110,15.126076077490216,1200.0,2.330600000000008,300.0,38.0
111,15.136076077490216,1659.0,2.7533600000000065,400.0,38.0
112,15.146076077490216,2102.0,3.1110800000000074,600.0,360.0
113,15.156076077490216,2736.0,3.447120000000006,800.0,1004.0
114,15.166076077490215,3424.0,3.7398000000000073,1000.0,1810.0
115,15.176076077490215,3980.0,3.999960000000008,1300.0,2938.0
116,15.186076077490217,4427.0,4.238440000000008,1500.0,4066.0
117,15.196076077490217,4938.0,4.455240000000008,1700.0,5033.0
118,15.206076077490216,5551.0,4.650360000000008,1900.0,5839.0
119,15.216076077490216,6160.0,4.834640000000007,2100.0,6645.0
120,15.226076077490216,6712.0,4.997240000000008,2400.0,7128.0
121,15.236076077490216,7212.0,5.138160000000007,2600.0,8256.0
122,15.246076077490216,7675.0,5.268240000000008,2800.0,8739.0
123,15.256076077490215,7868.0,5.268240000000008,3000.0,9384.0
124,15.266076077490215,7743.0,5.224880000000008,3000.0,9867.0
125,15.276076077490217,7519.0,5.149000000000007,3000.0,10029.0
126,15.286076077490216,7269.0,5.062280000000007,2900.0,9867.0
127,15.296076077490216,6951.0,4.964720000000008,2800.0,9867.0
128,15.306076077490216,6655.0,4.878000000000007,2700.0,9545.0
129,15.316076077490216,6394.0,4.791280000000007,2600.0,9223.0
130,15.326076077490216,6124.0,4.726240000000008,2500.0,8901.0
131,15.336076077490215,5931.0,4.661200000000008,2300.0,8417.0
132,15.346076077490215,5743.0,4.607000000000007,2300.0,8095.0
133,15.356076077490217,5566.0,4.563640000000008,2200.0,7773.0
134,15.366076077490217,5447.0,4.531120000000008,2100.0,7773.0
135,15.376076077490216,5332.0,4.498600000000008,2100.0,7450.0
136,15.386076077490216,5249.0,4.476920000000008,2000.0,7289.0
137,15.396076077490216,5192.0,4.466080000000008,2000.0,7128.0
138,15.406076077490216,5171.0,4.455240000000008,2000.0,6806.0
139,15.416076077490215,5134.0,4.455240000000008,2000.0,6967.0
140,15.426076077490215,5150.0,4.455240000000008,2000.0,6645.0
141,15.436076077490217,5145.0,4.455240000000008,2000.0,6806.0
142,15.446076077490217,5150.0,4.455240000000008,2000.0,6806.0
143,15.456076077490216,5155.0,4.455240000000008,2000.0,6806.0
144,15.466076077490216,5160.0,4.455240000000008,2000.0,6806.0
145,15.476076077490216,5171.0,4.466080000000008,2000.0,6645.0
146,15.486076077490216,5212.0,4.476920000000008,2000.0,6806.0
147,15.496076077490216,5291.0,4.498600000000008,2000.0,6645.0
148,15.506076077490215,5353.0,4.520280000000008,2000.0,6645.0
149,15.516076077490215,5415.0,4.541960000000008,2000.0,6806.0
150,15.526076077490217,5488.0,4.563640000000008,2100.0,6806.0
151,15.536076077490216,5546.0,4.585320000000007,2100.0,6967.0
152,15.546076077490216,5608.0,4.596160000000007,2100.0,7289.0
153,15.556076077490216,5660.0,4.617840000000007,2100.0,7128.0
154,15.566076077490216,5707.0,4.628680000000007,2200.0,7128.0
155,15.576076077490216,5759.0,4.639520000000008,2200.0,7289.0
156,15.586076077490215,5770.0,4.650360000000008,2200.0,7289.0
157,15.596076077490215,5822.0,4.661200000000008,2200.0,7450.0
158,15.606076077490217,5868.0,4.672040000000008,2200.0,7289.0
159,15.616076077490217,5879.0,4.682880000000008,2200.0,7611.0
160,15.626076077490216,5936.0,4.693720000000008,2300.0,7611.0
161,15.636076077490216,5983.0,4.715400000000008,2300.0,7611.0
162,15.646076077490216,6019.0,4.726240000000008,2300.0,7773.0
163,15.656076077490216,6045.0,4.726240000000008,2300.0,7450.0
164,15.666076077490215,6082.0,4.747920000000008,2300.0,7773.0
165,15.676076077490215,6134.0,4.758760000000008,2300.0,7934.0
166,15.686076077490217,6150.0,4.758760000000008,2400.0,7934.0
167,15.696076077490217,6181.0,4.769600000000008,2400.0,7773.0
168,15.706076077490216,6191.0,4.769600000000008,2400.0,7934.0
169,15.716076077490216,6196.0,4.769600000000008,2400.0,7934.0
170,15.726076077490216,6196.0,4.769600000000008,2400.0,7934.0
171,15.736076077490216,6196.0,4.769600000000008,2400.0,8095.0
172,15.746076077490216,6196.0,4.769600000000008,2400.0,7934.0
173,15.756076077490215,6196.0,4.769600000000008,2400.0,7934.0
174,15.766076077490215,6196.0,4.769600000000008,2400.0,7934.0
175,15.776076077490217,6191.0,4.769600000000008,2400.0,7934.0
176,15.786076077490216,6196.0,4.769600000000008,2400.0,7934.0
177,15.796076077490216,6191.0,4.769600000000008,2400.0,7934.0
178,15.806076077490216,6191.0,4.769600000000008,2400.0,7934.0
179,15.816076077490216,6191.0,4.769600000000008,2400.0,8095.0
180,15.826076077490216,6191.0,4.769600000000008,2400.0,7934.0
181,15.836076077490215,6196.0,4.769600000000008,2400.0,8095.0
182,15.846076077490215,6191.0,4.769600000000008,2400.0,8095.0
183,15.856076077490217,6191.0,4.769600000000008,2400.0,8095.0
184,15.866076077490217,6191.0,4.769600000000008,2400.0,7934.0
185,15.876076077490216,6196.0,4.769600000000008,2400.0,8095.0
186,15.886076077490216,6196.0,4.769600000000008,2400.0,8095.0
187,15.896076077490216,6196.0,4.769600000000008,2400.0,8095.0
188,15.906076077490216,6196.0,4.769600000000008,2400.0,8095.0
189,15.916076077490215,6196.0,4.769600000000008,2400.0,8095.0
190,15.926076077490215,6186.0,4.769600000000008,2400.0,8095.0
191,15.936076077490217,6165.0,4.758760000000008,2400.0,7934.0
192,15.946076077490217,6098.0,4.726240000000008,2400.0,7934.0
193,15.956076077490216,5993.0,4.693720000000008,2300.0,7934.0
194,15.966076077490216,5889.0,4.672040000000008,2300.0,7773.0
195,15.976076077490216,5806.0,4.639520000000008,2300.0,7773.0
196,15.986076077490216,5728.0,4.628680000000007,2200.0,7611.0
197,15.996076077490216,5686.0,4.617840000000007,2200.0,7450.0
198,16.006076077490217,5691.0,4.617840000000007,2200.0,7289.0
199,16.016076077490215,5697.0,4.617840000000007,2200.0,7128.0
200,16.026076077490217,5702.0,4.617840000000007,2200.0,7289.0
201,16.036076077490215,5717.0,4.628680000000007,2200.0,7289.0
202,16.046076077490216,5790.0,4.661200000000008,2200.0,7289.0
203,16.056076077490214,5868.0,4.682880000000008,2200.0,7289.0
204,16.066076077490216,5936.0,4.704560000000008,2200.0,7450.0
205,16.076076077490217,6009.0,4.726240000000008,2300.0,7611.0
206,16.086076077490215,6066.0,4.737080000000008,2300.0,7611.0
207,16.096076077490217,6129.0,4.758760000000008,2300.0,7773.0
208,16.106076077490215,6160.0,4.769600000000008,2400.0,7773.0
209,16.116076077490217,6202.0,4.769600000000008,2400.0,7934.0
210,16.126076077490215,6212.0,4.791280000000007,2400.0,7934.0
211,16.136076077490216,6254.0,4.791280000000007,2400.0,7934.0
212,16.146076077490214,6254.0,4.791280000000007,2400.0,7934.0
213,16.156076077490216,6259.0,4.791280000000007,2400.0,8095.0
214,16.166076077490217,6254.0,4.791280000000007,2400.0,8095.0
215,16.176076077490215,6254.0,4.791280000000007,2400.0,8095.0
216,16.186076077490217,6254.0,4.791280000000007,2400.0,8095.0
217,16.196076077490215,6238.0,4.780440000000007,2400.0,7934.0
218,16.206076077490216,6228.0,4.780440000000007,2400.0,8095.0
219,16.216076077490214,6139.0,4.737080000000008,2400.0,8095.0
220,16.226076077490216,6004.0,4.704560000000008,2400.0,8095.0
221,16.236076077490218,5894.0,4.661200000000008,2300.0,7934.0
222,16.246076077490216,5780.0,4.628680000000007,2300.0,7773.0
223,16.256076077490217,5686.0,4.607000000000007,2200.0,7450.0
224,16.266076077490215,5592.0,4.574480000000007,2200.0,7289.0
225,16.276076077490217,5520.0,4.552800000000008,2100.0,7289.0
226,16.286076077490215,5421.0,4.520280000000008,2100.0,7128.0
227,16.296076077490216,5275.0,4.476920000000008,2100.0,7128.0
228,16.306076077490214,5114.0,4.411880000000007,2000.0,7128.0
229,16.316076077490216,4925.0,4.346840000000007,2000.0,6806.0
230,16.326076077490217,4800.0,4.270960000000008,1900.0,6645.0
231,16.336076077490215,4533.0,4.086680000000007,1800.0,6322.0
232,16.346076077490217,3993.0,3.761480000000008,1700.0,5839.0
233,16.356076077490215,3228.0,3.284520000000008,1500.0,5033.0
234,16.366076077490217,2157.0,2.699160000000008,1200.0,4066.0
235,16.376076077490215,1430.0,2.048760000000008,800.0,2777.0
236,16.386076077490216,859.0,1.4200400000000075,500.0,1166.0
237,16.396076077490214,540.0,0.8021600000000064,300.0,38.0
238,16.406076077490216,265.0,0.2384800000000065,200.0,38.0
239,16.416076077490217,9.0,0.0,100.0,38.0
240,16.426076077490215,8.0,0.0,0.0,38.0
241,16.436076077490217,7.0,0.0,0.0,38.0
242,16.446076077490215,6.0,0.0,0.0,38.0
243,16.456076077490216,6.0,0.0,0.0,38.0
244,16.466076077490214,5.0,0.0,0.0,38.0
