,Unnamed: 0,currentTime,Agp_Pos_Sp_FL,Agp_Pos_Sp_FR,Agp_Pos_Sp_RL,Agp_Pos_Sp_RR,Disc_T_Est_FL,Disc_T_Est_FR,Disc_T_Est_RL,Disc_T_Est_RR,Motor_current_FL,Wheel_Decl_FL,Motor_current_FR,Wheel_Decl_FR,Motor_current_RL,Wheel_Decl_RL,Motor_current_RR,Wheel_Decl_RR,Vehicle_speed,Gyro_Rate_Pitch,IMU_Gyro_Rate_Roll,IMU_Gyro_Rate_Yaw,RealizedClampingForce_FL,RealizedClampingForce_FR,RealizedClampingForce_RL,RealizedClampingForce_RR,Piston_position_FL,Piston_position_FR,Piston_position_RL,Piston_position_RR,CF_FL,CF_FR,CF_RL,CF_RR,ESTIMATED_PRESSURE_FL,ESTIMATED_PRESSURE_FR,ESTIMATED_PRESSURE_RL,ESTIMATED_PRESSURE_RR,LATERAL_ACCELERATION,LONGITUDINAL_ACCELERATION,Wheel_Speed_FL,Wheel_Speed_FR,Wheel_Speed_RL,Wheel_Speed_RR,Yaw_rate,Ambiant_Temperature,Init_Disc_CF_FL,POS_MEASUREREV,TMC_filtered,Vitesse_Vehicule_Roues,Pressure_Speed_FL,Position_previous_FL,POS_MEASUREREV_square,POS_MEASUREREV_cube,Estimated_CF_FL,Estimated_CF_previous_FL,Pressure_Speed_previous_FL,CF_previous_FL,Deceleration_g,PosDiff,PreDiff,DecDiff,Lookup_Table,Temp_amb_C,Initial_temp_FL,RPM,Distance_Roues_instant,Distance_Roues,Brake_apply,Brake_release,Time_since_brake_apply,Miles_since_brake_apply,Time_since_brake_release,Miles_since_brake_release,BrakingTime_2,BrakingMiles_2,TimeSinceLastBrake_2,MilesSinceLastBrake_2,Change_Position,Change_pressure,BrakingForce_2,BrakingForce_ma_2,Start_braking_time,End_braking_time,BrakeStartSpeed,LastBrakStartSpeed,LastBrakEndtSpeed,LastDeceleration,conv_heat_trans_coef,temp_change_conv_FL,disc_heating_BTM_FL,temp_change_instant_BTM_1_FL,Pressure_Speed_time_FL
0,0,-0.0037817771974459,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32847.0,28070.0,32827.0,28014.0,33010.0,28109.0,32768.0,28221.0,13.84951,1.0500593959672992,0.3,-0.5166270693551338,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-31.39199912548065,212.8770112991333,50.34000015258789,50.6349983215332,52.81499862670898,52.58000183105469,-8.7,25.0,38.0,0.0,0.0,50.34000015258789,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-22.00012207031272,0.0,0.0,0.0,2.0,25.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.006218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32847.0,28070.0,32848.0,28018.0,32969.0,28179.0,32768.0,28247.0,13.859891387415788,1.2411065796829213,0.2411065796829213,-0.299519925442504,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-31.39199912548065,209.93399620056152,50.560001373291016,50.6150016784668,52.5,52.505001068115234,-9.570000207424163,25.0,38.0,0.0,0.0,50.560001373291016,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-6.999969482421875,0.0,0.0,15.000152587890845,2.0,25.0,64.0,0.0,0.00014013889100816375,0.00014013889100816375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099999999999999,0.00014013889100816375,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,8095.560701348918,56.54393986461036,63.997461653058004,0.0,63.997461653058004,0.0
2,2,0.016218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32847.0,28062.0,32827.0,28026.0,32990.0,28275.0,32747.0,28253.0,13.872459358173623,0.8264775704553733,0.0294072761358314,-0.1029381840905543,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-21.581999957561493,193.2569980621338,50.630001068115234,50.685001373291016,52.4900016784668,52.65999984741211,-6.089999896287917,25.0,38.0,0.0,0.0,50.630001068115234,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-0.9998321533203126,0.0,0.0,6.0001373291015625,2.0,25.0,64.0,0.0,0.0001405416700575087,0.00028068056106567244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199999999999999,0.00028068056106567244,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,56.604992389605776,63.99745891240283,0.0,63.99745891240283,0.0
3,3,0.026218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32809.0,28055.0,32807.0,28034.0,32990.0,28312.0,32788.0,28216.0,13.884992194553275,0.2676957052072976,0.4,-0.4119349682255415,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-14.714999496936798,180.50400018692017,50.63999938964844,50.744998931884766,52.41999816894531,52.93000030517578,-0.8700000129640102,25.0,38.0,0.0,0.0,50.63999938964844,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-13.00010681152344,0.0,0.0,-12.000274658203127,2.0,25.0,64.0,0.0,0.00014065277841356064,0.0004213333394792331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299999999999999,0.0004213333394792331,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,56.61371123683622,63.99745852101275,0.0,63.99745852101275,0.0
4,4,0.036218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32827.0,28059.0,32827.0,28044.0,32990.0,28311.0,32827.0,28095.0,13.89710685806027,0.3937598358321708,0.3299842626685267,-0.7087519671664342,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-4.904999956488609,180.50400018692017,50.77000045776367,50.875,52.650001525878906,53.3849983215332,-6.089999896287917,25.0,38.0,0.0,0.0,50.77000045776367,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-2.000045776367187,0.0,0.0,11.000061035156252,2.0,25.0,64.0,0.0,0.00014084722201029458,0.0005621805614895276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399999999999999,0.0005621805614895276,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,56.72704176898313,63.99745343359212,0.0,63.99745343359212,0.0
5,5,0.046218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32809.0,28068.0,32827.0,28069.0,32989.0,28242.0,32768.0,27943.0,13.908158278274888,0.6248626825646549,-0.0248626825646549,-0.6754119523060351,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-31.39199912548065,176.57999992370603,50.790000915527344,50.81499862670898,52.915000915527344,54.005001068115234,-12.179999792575837,25.0,38.0,0.0,0.0,50.790000915527344,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-9.999847412109373,0.0,0.0,-7.999801635742186,2.0,25.0,64.0,0.0,0.00014105555746290422,0.0007032361189524319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.0007032361189524319,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,56.74447182129388,63.99745265115513,0.0,63.99745265115513,0.0
6,6,0.056218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32868.0,28039.0,32827.0,28070.0,32969.0,28220.0,32768.0,27825.0,13.919852212440762,0.7086879350893028,-0.2326241298213943,-0.3247872389464183,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-17.65799969434738,167.75100231170654,50.88999938964844,50.90999984741211,53.43999862670898,54.334999084472656,-13.05,25.0,38.0,0.0,0.0,50.88999938964844,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-5.500030517578124,0.0,0.0,4.499816894531249,2.0,25.0,64.0,0.0,0.0001412222226460775,0.0008444583415985094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599999999999999,0.0008444583415985094,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,56.83159612514004,63.99744874013564,0.0,63.99744874013564,0.0
7,7,0.066218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32868.0,28039.0,32869.0,28072.0,32969.0,28245.0,32768.0,27812.0,13.934323759572568,0.5176954795697578,-0.6146090408604843,-0.4765432193546368,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-31.39199912548065,173.63699674606323,50.94499969482422,51.01499938964844,53.494998931884766,54.17499923706055,-5.220000207424164,25.0,38.0,0.0,0.0,50.94499969482422,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.5001068115241483,0.0,0.0,6.000137329102272,2.0,25.0,64.0,0.0,0.00014143749872843426,0.0009858958403269438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0699999999999999,0.0009858958403269438,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,56.879499432416345,63.99744658975112,0.0,63.99744658975112,0.0
8,8,0.076218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32827.0,28022.0,32848.0,28090.0,32969.0,28253.0,32868.0,27851.0,13.950113330469362,0.6531083744620219,-0.3880402297943078,-0.5734458127689891,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-27.46799886226654,206.0100078582764,50.93999862670898,51.10499954223633,53.290000915527344,53.744998931884766,-7.829999792575835,25.0,38.0,0.0,0.0,50.93999862670898,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-18.000030517578818,0.0,0.0,-18.500137329102966,2.0,25.0,64.0,0.0,0.00014150694211324049,0.0011274027824401843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999989,0.0011274027824401843,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,56.87514415058077,63.99744678526017,0.0,63.99744678526017,0.0
9,9,0.086218222802554,2.0,2.0,2.0,2.0,64.0,64.0,64.0,64.0,32827.0,28011.0,32827.0,28089.0,32969.0,28214.0,32726.0,27936.0,13.96273151694058,0.8912325774103584,-0.0473954644621505,-0.4675348451792832,2.0,2.0,3.0,2.0,-0.2489999999999993,-0.2489999999999993,-0.2449999999999993,-0.2469999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-11.772000044584274,219.74399089813232,51.119998931884766,51.084999084472656,53.27000045776367,53.28499984741211,-10.440000414848328,25.0,38.0,0.0,0.0,51.119998931884766,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,17.499923706054695,0.0,0.0,35.49995422363351,2.0,25.0,64.0,0.0,0.00014174999660915812,0.0012691527790493424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0899999999999999,0.0012691527790493424,0.0,0.0,0.0,0.0,0.0,0.006218222802554,0.0,0.0,50.34000015258789,0.0,57.03184192478305,63.99743975108135,0.0,63.99743975108135,0.0
