,Unnamed: 0,currentTime,Agp_Pos_Sp_FL,Agp_Pos_Sp_FR,Agp_Pos_Sp_RL,Agp_Pos_Sp_RR,Disc_T_Est_FL,Disc_T_Est_FR,Disc_T_Est_RL,Disc_T_Est_RR,Motor_current_FL,Wheel_Decl_FL,Motor_current_FR,Wheel_Decl_FR,Motor_current_RL,Wheel_Decl_RL,Motor_current_RR,Wheel_Decl_RR,Vehicle_speed,Gyro_Rate_Pitch,IMU_Gyro_Rate_Roll,IMU_Gyro_Rate_Yaw,RealizedClampingForce_FL,RealizedClampingForce_FR,RealizedClampingForce_RL,RealizedClampingForce_RR,Piston_position_FL,Piston_position_FR,Piston_position_RL,Piston_position_RR,CF_FL,CF_FR,CF_RL,CF_RR,ESTIMATED_PRESSURE_FL,ESTIMATED_PRESSURE_FR,ESTIMATED_PRESSURE_RL,ESTIMATED_PRESSURE_RR,LATERAL_ACCELERATION,LONGITUDINAL_ACCELERATION,Wheel_Speed_FL,Wheel_Speed_FR,Wheel_Speed_RL,Wheel_Speed_RR,Yaw_rate,Ambiant_Temperature,Init_Disc_CF_FL,POS_MEASUREREV,TMC_filtered,Vitesse_Vehicule_Roues,Pressure_Speed_FL,Position_previous_FL,POS_MEASUREREV_square,POS_MEASUREREV_cube,Estimated_CF_FL,Estimated_CF_previous_FL,Pressure_Speed_previous_FL,CF_previous_FL,Deceleration_g,PosDiff,PreDiff,DecDiff,Lookup_Table,Temp_amb_C,Initial_temp_FL,RPM,Distance_Roues_instant,Distance_Roues,Brake_apply,Brake_release,Time_since_brake_apply,Miles_since_brake_apply,Time_since_brake_release,Miles_since_brake_release,BrakingTime_2,BrakingMiles_2,TimeSinceLastBrake_2,MilesSinceLastBrake_2,Change_Position,Change_pressure,BrakingForce_2,BrakingForce_ma_2,Start_braking_time,End_braking_time,BrakeStartSpeed,LastBrakStartSpeed,LastBrakEndtSpeed,LastDeceleration,conv_heat_trans_coef,temp_change_conv_FL,disc_heating_BTM_FL,temp_change_instant_BTM_1_FL,Pressure_Speed_time_FL
0,0,-0.005341693115227,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32848.0,32768.0,32848.0,32768.0,32990.0,32768.0,32809.0,32768.0,0.0,-0.1,-0.05,0.3,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-4.904999956488609,4.904999956488609,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,5.220000207424164,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0046583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32848.0,32768.0,32869.0,32768.0,32990.0,32768.0,32809.0,32768.0,0.0,-0.0052335699679502,0.2816825051121742,0.2052335699679502,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-4.904999956488609,4.904999956488609,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,5.220000207424164,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.7824115865892994e-21,5.7824115865892994e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099999999999999,5.7824115865892994e-21,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,4.468722698319291e-13,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
2,2,0.0146583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32848.0,32768.0,32827.0,32768.0,32990.0,32768.0,32809.0,32768.0,0.0,0.2371698630384612,0.3948679452153845,0.0576980821769232,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-1.9619999453425407,11.772000044584274,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,3.4800000518560408,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.782411586589357e-21,1.1564823173178656e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199999999999999,1.1564823173178656e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
3,3,0.0246583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32848.0,32768.0,32827.0,32768.0,32929.0,32768.0,32788.0,32768.0,0.0,0.3924312109089798,0.4949541406059865,0.05,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-7.847999781370163,7.847999781370163,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,0.8700000129640102,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.7824115865893566e-21,1.7347234759768014e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299999999999999,1.7347234759768014e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
4,4,0.0346583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32889.0,32768.0,32848.0,32768.0,32969.0,32768.0,32747.0,32768.0,0.0,0.1748032673788899,0.2297639208546679,0.095039346524222,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,1.9619999453425407,4.904999956488609,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,0.8700000129640102,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.782411586589358e-21,2.3129646346357372e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399999999999999,2.3129646346357372e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
5,5,0.0446583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32848.0,32768.0,32827.0,32768.0,32990.0,32768.0,32788.0,32768.0,0.0,-0.0386113419486781,0.3886113419486782,-0.1357641774358476,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,1.9619999453425407,4.904999956488609,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,1.7400000259280204,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.782411586589358e-21,2.891205793294673e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,2.891205793294673e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
6,6,0.0546583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32827.0,32768.0,32848.0,32768.0,32948.0,32768.0,32768.0,32768.0,0.0,-0.1898238728528146,-0.1592954914112583,-0.15,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-1.9619999453425407,7.847999781370163,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,-2.610000103712082,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.7824115865893536e-21,3.469446951953608e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999894,3.469446951953608e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
7,7,0.0646583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32889.0,32768.0,32869.0,32768.0,32948.0,32768.0,32768.0,32768.0,0.0,-0.2,0.0839534067735426,0.2286045423647236,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-4.904999956488609,7.847999781370163,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,-2.610000103712082,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.7824115865893626e-21,4.0476881106125447e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0699999999999999,4.0476881106125447e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
8,8,0.0746583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32889.0,32768.0,32869.0,32768.0,33031.0,32768.0,32788.0,32768.0,0.0,0.1237553428462927,-0.0850030530550244,0.4350030530550244,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,1.9619999453425407,7.847999781370163,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,4.35,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.7824115865893536e-21,4.62592926927148e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999989,4.62592926927148e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
9,9,0.0846583068847729,2.0,2.0,2.0,2.0,108.0,108.0,108.0,108.0,32869.0,32768.0,32848.0,32768.0,32948.0,32768.0,32768.0,32768.0,0.0,0.15,-0.1892865956221298,0.0928536175114808,0.0,0.0,0.0,0.0,-0.3489999999999993,-0.3489999999999993,-0.3499999999999993,-0.3509999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-4.904999956488609,4.904999956488609,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,2.0816681711721685e-15,7.829999792575835,25.0,38.0,0.0,0.0,2.0816681711721685e-15,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,0.0,5.7824115865893536e-21,5.204170427930415e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999989,5.204170427930415e-20,0.0,0.0,0.0,0.0,0.0,0.0046583068847729,0.0,0.0,2.0816681711721685e-15,0.0,5.600000000000002,107.99946496873449,0.0,107.99946496873449,0.0
