Complexity,Loss,Equation
1,3.5698996,"2.490182"
3,3.5072486,"2.9923685 - x2"
5,3.457735,"2.6691487 - (x2 * x4)"
7,3.4154162,"((x6 - x2) - x4) + 2.953012"
9,3.3690457,"(x8 * ((x3 - x2) * 2.0812805)) - -2.5139909"
11,3.3293204,"(x8 * ((x3 - (x2 * x4)) * 2.0812805)) - -2.1709723"
13,3.2570832,"((x3 - x4) * (-2.4100685 * ((x9 - x0) - x8))) - -2.5139909"
15,3.1781497,"((x3 - (x4 * x2)) * (-2.4100685 * ((x9 - x0) - x8))) - -2.4100685"
17,3.148356,"((x3 - (x4 * (x2 + x5))) * (-2.4100685 * ((x9 - x0) - x8))) - -2.4100685"
