Complexity,Loss,Equation
1,6.742326e7,"TMC_filtered"
2,6.731865e7,"cube(2.4486506)"
3,1.6474051e7,"7148.9453 * TMC_filtered"
5,22406.54,"4056.1775 - (TMC_filtered * -7138.888)"
7,22305.133,"4056.1775 - (TMC_filtered * (-7137.2285 - disc_heating_BTM_FL))"
8,21869.736,"(4056.2341 - cube(BrakingTime_2)) - (TMC_filtered * -7139.7295)"
9,19635.375,"4076.9458 - (TMC_filtered * (cube(square(TMC_filtered)) - 7211.8203))"
11,18308.879,"(603.5175 * cube(sin(POS_MEASUREREV))) + (4056.2341 - (-6916.5903 * TMC_filtered))"
13,9380.823,"(sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * 638.6722) + (4002.022 - (-6904.749 * TMC_filtered))"
15,9351.017,"disc_heating_BTM_FL + ((659.8781 * sin(POS_MEASUREREV - sin(disc_heating_BTM_FL))) - (6894.875 * (-0.5800269 - TMC_filtered)))"
16,9255.324,"(cube(disc_heating_BTM_FL) - (6891.3843 * (-0.58014274 - TMC_filtered))) + (659.878 * sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)))"
18,9157.496,"(disc_heating_BTM_FL - (6860.5845 * (-0.5805238 - TMC_filtered))) + (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * square(-25.586153 - POS_MEASUREREV))"
19,9058.031,"(POS_MEASUREREV - (6882.5586 * (-0.58014274 - TMC_filtered))) + (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * (658.564 + (BrakingTime_2 * 44.033623)))"
20,9042.505,"(cube(TMC_filtered) - (6877.569 * (-0.58014274 - TMC_filtered))) + (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * (658.564 + (BrakingTime_2 * 44.033623)))"
21,8818.606,"((sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * 638.6722) - ((-0.5828117 - TMC_filtered) * 6781.4297)) + (sin(POS_MEASUREREV - sin(POS_MEASUREREV)) * 388.19186)"
22,8721.717,"((sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * 638.6722) - ((-0.5828117 - TMC_filtered) * 6781.4297)) + (sin(sin(POS_MEASUREREV - sin(POS_MEASUREREV))) * 388.19186)"
23,8568.826,"((sin(sin(POS_MEASUREREV - sin(sin(POS_MEASUREREV)))) * 443.5727) - ((-0.5829085 - TMC_filtered) * 6767.0737)) - (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * -627.03406)"
25,8530.63,"(((sin(sin(POS_MEASUREREV - sin(sin(POS_MEASUREREV)))) * 443.5727) - ((-0.5829085 - TMC_filtered) * 6767.0737)) - (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * -627.03406)) + 2.4634094"
26,8496.62,"(((sin(sin(POS_MEASUREREV - sin(sin(POS_MEASUREREV)))) * 443.5727) - ((-0.5829085 - TMC_filtered) * 6767.0737)) - (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * -627.03406)) + square(2.4634094)"
27,8494.745,"(((sin(sin(POS_MEASUREREV - sin(sin(POS_MEASUREREV) - 0.020744558))) * 443.5727) - ((-0.5829085 - TMC_filtered) * 6767.0737)) - (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * -627.03406)) + 2.4634094"
28,8491.688,"(((sin(sin(POS_MEASUREREV - sin(sin(POS_MEASUREREV)))) * 443.5727) - ((-0.5829085 - TMC_filtered) * 6767.0737)) - (sin(POS_MEASUREREV - sin(disc_heating_BTM_FL)) * -627.03406)) + (square(2.4634094) + 1.0260284)"
