Complexity,Loss,Equation
2,0.07376578,"sin(0.47103775)"
6,0.072137944,"sin(cos(exp(0.16088705 * x0)))"
7,0.0719018,"sin(cos(exp(0.16088705 * sin(x0))))"
8,0.07129374,"-0.4999391 + cos((x1 * x0) * x1)"
9,0.07102134,"sin(sin(sin(sin(exp(sin(x0 + 0.86087596))))))"
10,0.07083494,"sin(-0.4999391 + cos((sin(x0) * x1) * x1))"
11,0.07065262,"sin(-0.4999391 + cos(((x1 * x0) * x1) * x1))"
13,0.068965465,"sin((cos(x1 * x0) + -0.28716224) * sin(sin(0.65966725 + x1)))"
14,0.06879368,"sin(sin((cos(x1 * x0) + -0.28716224) * sin(sin(0.65966725 + x1))))"
16,0.067843914,"sin((cos((x1 * sin(x0)) * -1.336084) + -0.25184187) * sin(sin(x1 + 0.53852195)))"
19,0.06641047,"sin((cos((x1 * sin(sin(x0 + sin(x0)))) * -1.336084) + -0.25184187) * sin(x1 + 0.53852195))"
20,0.066316694,"sin((cos((x1 * sin(sin(x0 + sin(x0)))) * -1.336084) + -0.25184187) * sin(sin(x1) + 0.53852195))"
