Complexity,Loss,Equation
1,0.65176,"5.635949"
3,0.50506145,"x10 ^ 0.7377849"
5,0.46791342,"(x10 ^ 0.7751237) - x1"
6,0.45692354,"log(x10 ^ 2.6368499) - x1"
7,0.44129786,"(x9 + (x10 ^ 0.72748685)) - x1"
8,0.4342324,"((x10 ^ 0.73177516) + sin(x9)) - x1"
9,0.42925647,"((x10 ^ 0.7288568) + min(0.83097, x9)) - x1"
10,0.42569828,"((x10 ^ 0.7120235) + min(0.8267294, x9)) - square(x1)"
11,0.41643175,"((x10 ^ 0.6591667) + min(2.4084206 * x9, 1.689952)) - x1"
12,0.41485858,"(min(exp(x9), x10 ^ 0.32026482) + (x10 ^ 0.62208647)) - x1"
14,0.41409236,"(min(exp(x9), x10 ^ 0.32026482) + min(x10 ^ 0.62208647, x0)) - x1"
15,0.41366872,"(min(x10 ^ 0.32026482, exp(x9)) + (x10 ^ 0.62208647)) - max(sqrt(x4), x1)"
16,0.41329455,"(min(x10 ^ 0.32026482, exp(x9)) + (x10 ^ 0.62208647)) - max(tan(sqrt(x4)), x1)"
18,0.41317794,"abs((min(x10 ^ 0.32026482, exp(x9)) + (x10 ^ 0.62208647)) - max(tan(sqrt(tan(x4))), x1))"
19,0.41171363,"max(-0.85891986, (min(x10 ^ 0.32026482, exp(x9)) + (x10 ^ 0.62208647)) - max(tan(x10 ^ 0.7377849), x1))"
